,distance,velocity,minttc
205,18,10.4,1.513498291
206,18,10.8,1.513498291
207,18,11.2,1.513497684
208,18,11.6,1.513497684
209,18,12,1.513498291
210,18,12.4,1.513498291
211,18,12.8,1.513498291
212,18,13.2,1.513498291
213,18,13.6,1.513498291
214,18,14,1.513497684
215,18,14.4,1.513497684
216,18,14.8,1.513498291
217,18,15.2,1.513498291
218,18,15.6,1.513498291
219,18,16,1.513498291
220,18,16.4,1.513497684
221,18,16.8,1.513498291
222,18,17.2,1.513497684
223,18,17.6,1.513498291
224,18,18,1.513498291
225,18,18.4,1.452269926
226,18,18.8,1.513497684
227,18,19.2,1.513497684
228,18,19.6,0.324526063
229,18,20,0.324420988
230,18,20.4,0.324421064
231,18,20.8,0.324421064
232,18,21.2,0.324418579
233,18,21.6,0.396383007
234,18,22,0.396383007
235,18,22.4,0.396383007
236,18,22.8,0.32441868
237,18,23.2,0.397129494
238,18,23.6,1.343354775
239,18,24,1.335250003
240,18,24.4,1.335249767
241,18,24.8,1.335249767
242,18,25.2,1.335249767
243,18,25.6,1.335250003
244,18,26,1.335249767
245,18,26.4,1.335249885
246,18,26.8,1.335249767
247,18,27.2,1.335250003
248,18,27.6,1.335249885
249,18,28,1.513498291
250,18,28.4,1.513498291
251,18,28.8,1.513498291
252,18,29.2,1.513498291
253,18,29.6,1.513498291
254,18,30,1.513498291
255,20,10,1.723705696
256,20,10.4,1.723705696
257,20,10.8,1.723706387
258,20,11.2,1.723706387
259,20,11.6,1.723706387
260,20,12,1.723706387
261,20,12.4,1.723706387
262,20,12.8,1.723705696
263,20,13.2,1.723705696
264,20,13.6,1.723705696
265,20,14,1.723706387
266,20,14.4,1.723706387
267,20,14.8,1.723706387
268,20,15.2,1.723706387
269,20,15.6,1.723705696
270,20,16,1.723705696
271,20,16.4,1.723705696
272,20,16.8,1.723706387
273,20,17.2,1.723706387
274,20,17.6,1.723706387
275,20,18,1.723706387
276,20,18.4,1.723706387
277,20,18.8,1.723705696
278,20,19.2,1.653974082
279,20,19.6,1.653974082
280,20,20,0.394785426
281,20,20.4,0.394662376
282,20,20.8,0.394660705
283,20,21.2,0.394662314
284,20,21.6,0.394662314
285,20,22,0.393878239
286,20,22.4,0.3938783
287,20,22.8,0.394660767
288,20,23.2,0.394662314
289,20,23.6,1.419228542
290,20,24,1.441718373
291,20,24.4,1.441515611
292,20,24.8,1.441515611
293,20,25.2,1.439955796
294,20,25.6,1.439955796
295,20,26,1.439955666
296,20,26.4,1.441655908
297,20,26.8,1.441582105
298,20,27.2,1.441655908
299,20,27.6,1.441655908
300,20,28,1.712886406
301,20,28.4,1.723705696
302,20,28.8,1.723705696
303,20,29.2,1.723705696
304,20,29.6,1.723706387
305,20,30,1.723706387
306,22,10,1.933914483
307,22,10.4,1.933914483
308,22,10.8,1.933914483
309,22,11.2,1.933914483
310,22,11.6,1.933914483
311,22,12,1.933914483
312,22,12.4,1.933914483
313,22,12.8,1.933914483
314,22,13.2,1.933914483
315,22,13.6,1.933914483
316,22,14,1.933914483
317,22,14.4,1.933914483
318,22,14.8,1.933914483
319,22,15.2,1.933914483
320,22,15.6,1.933914483
321,22,16,1.933913707
322,22,16.4,1.933913707
323,22,16.8,1.933913707
324,22,17.2,1.933913707
325,22,17.6,1.933914483
326,22,18,1.933914483
327,22,18.4,1.933914483
328,22,18.8,1.910523673
329,22,19.2,1.855678239
330,22,19.6,1.855678239
331,22,20,0.400002098
332,22,20.4,0.399871168
333,22,20.8,0.39987533
334,22,21.2,0.399875362
335,22,21.6,0.399871073
336,22,22,0.399871137
337,22,22.4,0.399876728
338,22,22.8,0.399876728
339,22,23.2,0.39902784
340,22,23.6,0.39902784
341,22,24,1.408152205
342,22,24.4,1.411557813
343,22,24.8,1.411557563
344,22,25.2,1.411612071
345,22,25.6,1.41150456
346,22,26,1.411416438
347,22,26.4,1.41146131
348,22,26.8,1.411504435
349,22,27.2,1.41150456
350,22,27.6,1.408152205
351,22,28,1.408152205
352,22,28.4,1.906385919
353,22,28.8,1.906385919
354,22,29.2,1.906385919
355,22,29.6,1.906385919
356,22,30,1.906385919
357,24,10,2.141579272
358,24,10.4,2.144122579
359,24,10.8,2.144122579
360,24,11.2,2.144122579
361,24,11.6,2.144121719
362,24,12,2.144121719
363,24,12.4,2.144122579
364,24,12.8,2.144122579
365,24,13.2,2.144122579
366,24,13.6,2.144122579
367,24,14,2.144122579
368,24,14.4,2.144122579
369,24,14.8,2.144122579
370,24,15.2,2.144122579
371,24,15.6,2.144121719
372,24,16,2.144122579
373,24,16.4,2.144121719
374,24,16.8,2.144121719
375,24,17.2,2.144121719
376,24,17.6,2.144122579
377,24,18,2.144122579
378,24,18.4,2.144122579
379,24,18.8,2.144122579
380,24,19.2,2.144122579
381,24,19.6,1.920027891
382,24,20,1.920027891
383,24,20.4,0.395972245
384,24,20.8,0.395972214
385,24,21.2,0.396838985
386,24,21.6,0.396837452
387,24,22,0.396834761
388,24,22.4,0.396834761
389,24,22.8,0.396837483
390,24,23.2,0.396837483
391,24,23.6,0.395972276
392,24,24,1.477217014
393,24,24.4,1.481831349
394,24,24.8,1.481982402
395,24,25.2,1.481884358
396,24,25.6,1.482003216
397,24,26,1.481937502
398,24,26.4,1.481884358
399,24,26.8,1.481884358
400,24,27.2,1.477217014
401,24,27.6,1.477216884
402,24,28,1.481884358
403,24,28.4,1.481884489
404,24,28.8,1.921693942
405,24,29.2,1.92370087
406,24,29.6,1.92370087
407,24,30,1.92370087
408,26,10,2.346598805
409,26,10.4,2.354329731
410,26,10.8,2.354329731
411,26,11.2,2.354330675
412,26,11.6,2.354330675
413,26,12,2.354330675
414,26,12.4,2.354329731
415,26,12.8,2.354330675
416,26,13.2,2.354330675
417,26,13.6,2.354330675
418,26,14,2.354329731
419,26,14.4,2.354330675
420,26,14.8,2.354330675
421,26,15.2,2.354330675
422,26,15.6,2.354330675
423,26,16,2.354330675
424,26,16.4,2.354330675
425,26,16.8,2.354330675
426,26,17.2,2.354330675
427,26,17.6,2.354330675
428,26,18,2.354330675
429,26,18.4,2.354330675
430,26,18.8,2.354330675
431,26,19.2,1.92782258
432,26,19.6,1.925546052
433,26,20,1.925546052
434,26,20.4,1.925546052
435,26,20.8,0.476933022
436,26,21.2,0.393596159
437,26,21.6,0.393600498
438,26,22,0.393596128
439,26,22.4,0.393600498
440,26,22.8,0.393600529
441,26,23.2,0.393600529
442,26,23.6,0.393601483
443,26,24,0.476933022
444,26,24.4,1.586467248
445,26,24.8,1.580946022
446,26,25.2,1.581002635
447,26,25.6,1.580982061
448,26,26,1.580982061
449,26,26.4,1.581002635
450,26,26.8,1.581002635
451,26,27.2,1.575089235
452,26,27.6,1.580981919
453,26,28,1.581063508
454,26,28.4,1.581002635
455,26,28.8,1.930239259
456,26,29.2,1.932504499
457,26,29.6,1.932489929
458,26,30,1.931512395
459,28,10,2.564537742
460,28,10.4,2.564538771
461,28,10.8,2.564538771
462,28,11.2,2.564538771
463,28,11.6,2.564538771
464,28,12,2.564538771
465,28,12.4,2.564538771
466,28,12.8,2.564538771
467,28,13.2,2.564537742
468,28,13.6,2.564538771
469,28,14,2.564538771
470,28,14.4,2.564538771
471,28,14.8,2.564538771
472,28,15.2,2.564538771
473,28,15.6,2.564538771
474,28,16,2.564538771
475,28,16.4,2.564537742
476,28,16.8,2.564537742
477,28,17.2,2.564538771
478,28,17.6,2.564538771
479,28,18,2.564537742
480,28,18.4,2.564538771
481,28,18.8,2.564538771
482,28,19.2,2.564538771
483,28,19.6,2.564538771
484,28,20,1.943802435
485,28,20.4,1.939488494
486,28,20.8,0.473886797
487,28,21.2,0.473701234
488,28,21.6,0.473701272
489,28,22,0.473690878
490,28,22.4,0.473690878
491,28,22.8,0.473690878
492,28,23.2,0.472568652
493,28,23.6,0.47256869
494,28,24,0.473689235
495,28,24.4,1.650175963
496,28,24.8,1.644864241
497,28,25.2,1.644853978
498,28,25.6,1.644818061
499,28,26,1.644853978
500,28,26.4,1.644853978
501,28,26.8,1.638062906
502,28,27.2,1.638062906
503,28,27.6,1.644928602
504,28,28,1.644874943
505,28,28.4,1.644817915
506,28,28.8,1.644853978
507,28,29.2,1.944118155
508,28,29.6,1.951285527
509,28,30,1.951301355
510,30,10,2.774745754
511,30,10.4,2.773215789
512,30,10.8,2.773215789
513,30,11.2,2.773182451
514,30,11.6,2.773215789
515,30,12,2.773236904
516,30,12.4,2.773204676
517,30,12.8,2.773215789
518,30,13.2,2.774745754
519,30,13.6,2.773204676
520,30,14,2.773215789
521,30,14.4,2.773215789
522,30,14.8,2.773193564
523,30,15.2,2.773225791
524,30,15.6,2.773204676
525,30,16,2.773204676
526,30,16.4,2.774745754
527,30,16.8,2.773225791
528,30,17.2,2.773204676
529,30,17.6,2.773215789
530,30,18,2.773182451
531,30,18.4,2.773215789
532,30,18.8,2.773204676
533,30,19.2,2.773225791
534,30,19.6,0
535,30,20,1.95181907
536,30,20.4,1.951835666
537,30,20.8,0.477483374
538,30,21.2,0.477483374
539,30,21.6,0.478677747
540,30,22,0.478678059
541,30,22.4,0.478677747
542,30,22.8,0.478678059
543,30,23.2,0.478677747
544,30,23.6,0.477483413
